host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5,prop.gp.6,prop.gp.7,prop.gp.8,prop.gp.9,prop.gp.10,prop.gp.11,prop.gp.12,prop.gp.13,prop.gp.14,prop.gp.15,prop.gp.16,prop.gp.17,prop.gp.18
AU64,1500_to_1599,1549.5,14,14,1,9,0.015878642857142855,0.015878642857142855,0.017964,0.031300999999999995,0.008896999999999999,0.008896999999999999,0.015878642857142855,0.015878642857142855,0.017964,0.031300999999999995,0.008896999999999999,0.008896999999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AV40,1500_to_1599,1549.5,32,32,4,7,0.06869506250000001,0.07286303703703705,0.056741,0.220578,0.09114181048387097,0.08514817094017095,0.06869506250000001,0.07286303703703705,0.056741,0.220578,0.09114181048387097,0.08514817094017095,0.84375,0.09375,0.03125,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AV42,1500_to_1599,1549.5,16,16,1,5,0.0074165624999999995,0.0074165624999999995,0.013312,0.026538,0.010012975,0.010012975,0.0074165624999999995,0.0074165624999999995,0.013312,0.026538,0.010012975,0.010012975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AW1,1500_to_1599,1549.5,7,7,3,7,0.004585142857142857,0.0015250000000000003,0.013768,0.022925,0.009165428571428571,0.003048666666666667,0.004585142857142857,0.0015250000000000003,0.013768,0.022925,0.009165428571428571,0.003048666666666667,0.42857142857142855,0.42857142857142855,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AW10,1500_to_1599,1549.5,14,14,6,10,0.018913999999999997,0.009745249999999999,0.013892,0.046064,0.018600923076923077,0.016886071428571427,0.018913999999999997,0.009745249999999999,0.013892,0.046064,0.018600923076923077,0.016886071428571427,0.5714285714285714,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0,0,0,0,0,0,0,0,0,0,0,0
AW12,1500_to_1599,1549.5,7,7,1,4,0.004570571428571429,0.004570571428571429,0.009143,0.01826,0.006526857142857143,0.006526857142857143,0.004570571428571429,0.004570571428571429,0.009143,0.01826,0.006526857142857143,0.006526857142857143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AW13,1500_to_1599,1549.5,10,10,4,9,0.0150426,0.003644,0.013677,0.022806999999999997,0.008203244444444443,0.007286399999999999,0.0150426,0.003644,0.013677,0.022806999999999997,0.008203244444444443,0.007286399999999999,0.5,0.3,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AW15,1500_to_1599,1549.5,2,2,2,2,0.006889499999999997,0,0.013778999999999994,0.013778999999999994,0.013778999999999994,NA,0.006889499999999997,0,0.013778999999999994,0.013778999999999994,0.013778999999999994,NA,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AW16,1500_to_1599,1549.5,6,6,6,6,0.004307333333333332,0,0.013600999999999992,0.021250999999999992,0.008611066666666665,NA,0.004307333333333332,0,0.013600999999999992,0.021250999999999992,0.008611066666666665,NA,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0
AW18,1500_to_1599,1549.5,6,6,1,4,0.003800333333333333,0.003800333333333333,0.004576,0.009135,0.0075976,0.0075976,0.003800333333333333,0.003800333333333333,0.004576,0.009135,0.0075976,0.0075976,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AW2,1500_to_1599,1549.5,20,20,15,20,0.02841550000000001,0.008994600000000002,0.041338000000000014,0.09157900000000002,0.03628651578947369,0.0134944,0.02841550000000001,0.008994600000000002,0.041338000000000014,0.09157900000000002,0.03628651578947369,0.0134944,0.25,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0
AW20,1500_to_1599,1549.5,7,7,5,7,0.003911142857142856,0.0015190000000000002,0.00913199999999999,0.01369299999999999,0.007818095238095235,0.0030373333333333333,0.003911142857142856,0.0015190000000000002,0.00913199999999999,0.01369299999999999,0.007818095238095235,0.0030373333333333333,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0
AW21,1500_to_1599,1549.5,17,17,3,13,0.009156470588235295,0.004301533333333333,0.063783,0.09646200000000002,0.01790554411764706,0.0083364,0.009156470588235295,0.004301533333333333,0.063783,0.09646200000000002,0.01790554411764706,0.0083364,0.8823529411764706,0.058823529411764705,0.058823529411764705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AW22,1500_to_1599,1549.5,17,17,6,9,0.01334370588235294,0.007936499999999999,0.03630400000000001,0.04988700000000001,0.015685661764705885,0.011662357142857143,0.01334370588235294,0.007936499999999999,0.03630400000000001,0.04988700000000001,0.015685661764705885,0.011662357142857143,0.47058823529411764,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.058823529411764705,0,0,0,0,0,0,0,0,0,0,0,0
AW27,1500_to_1599,1549.5,26,26,1,1,0.015519923076923077,0.015519923076923077,0.032944,0.073843,0.019513120000000002,0.019513120000000002,0.015519923076923077,0.015519923076923077,0.032944,0.073843,0.019513120000000002,0.019513120000000002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AW28,1500_to_1599,1549.5,13,13,9,12,0.005991153846153847,0.009136333333333331,0.018381000000000005,0.032157000000000005,0.011970564102564103,0.018272,0.005991153846153847,0.009136333333333331,0.018381000000000005,0.032157000000000005,0.011970564102564103,0.018272,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0,0,0,0,0,0,0,0,0
