host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5,prop.gp.6,prop.gp.7,prop.gp.8,prop.gp.9,prop.gp.10,prop.gp.11,prop.gp.12,prop.gp.13,prop.gp.14,prop.gp.15,prop.gp.16,prop.gp.17,prop.gp.18,prop.gp.19,prop.gp.20
AI004,1900_to_1999,1949.5,29,29,14,22,0.10287237931034485,0.028998799999999998,0.162686,0.3509169999999999,0.144060881773399,0.0431838,0.10287237931034485,0.028998799999999998,0.162686,0.3509169999999999,0.144060881773399,0.0431838,0.1724137931034483,0.1724137931034483,0.13793103448275862,0.10344827586206896,0.10344827586206896,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0,0,0,0,0,0
AI005,1900_to_1999,1949.5,10,10,7,10,0.0643118,0.0012126666666666668,0.050869000000000004,0.09903899999999999,0.04288106666666667,0.002424666666666667,0.0643118,0.0012126666666666668,0.050869000000000004,0.09903899999999999,0.04288106666666667,0.002424666666666667,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
AI007,1900_to_1999,1949.5,7,7,4,5,0.008821571428571429,0.009646333333333335,0.010952,0.036352999999999996,0.015908666666666665,0.014477333333333332,0.008821571428571429,0.009646333333333335,0.010952,0.036352999999999996,0.015908666666666665,0.014477333333333332,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI052,1900_to_1999,1949.5,5,5,4,5,0.0043768,0.0073030000000000005,0.007307,0.014606000000000001,0.0080264,0.014606000000000001,0.0043768,0.0073030000000000005,0.007307,0.014606000000000001,0.0080264,0.014606000000000001,0.4,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI102,1900_to_1999,1949.5,7,7,4,6,0.007838714285714286,0.009696666666666666,0.014849999999999999,0.025765999999999997,0.014979523809523809,0.014533333333333332,0.007838714285714286,0.009696666666666666,0.014849999999999999,0.025765999999999997,0.014979523809523809,0.014533333333333332,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI105,1900_to_1999,1949.5,10,10,9,9,0.006198,1e-6,0.011008999999999998,0.021953999999999998,0.009971422222222222,2e-6,0.006198,1e-6,0.011008999999999998,0.021953999999999998,0.009971422222222222,2e-6,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
AI107,1900_to_1999,1949.5,15,15,8,14,0.13741246666666668,0.009421714285714285,0.24718100000000004,0.316619,0.15272859047619047,0.013620095238095238,0.13741246666666668,0.009421714285714285,0.24718100000000004,0.316619,0.15272859047619047,0.013620095238095238,0.4666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0
AI142,1900_to_1999,1949.5,7,7,5,6,0.018781999999999997,0.011264,0.01898,0.048834,0.024610857142857143,0.022528,0.018781999999999997,0.011264,0.01898,0.048834,0.024610857142857143,0.022528,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI201,1900_to_1999,1949.5,6,6,6,6,0.15750700000000004,0,0.258201,0.32851500000000006,0.16478053333333337,NA,0.15750700000000004,0,0.258201,0.32851500000000006,0.16478053333333337,NA,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI202,1900_to_1999,1949.5,5,5,3,4,0.006733000000000001,0.003661,0.026321,0.029993000000000002,0.013462600000000002,0.007322,0.006733000000000001,0.003661,0.026321,0.029993000000000002,0.013462600000000002,0.007322,0.4,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
